date,m0,m1,m2,m3,m4,hm0,fp,tp,dp,sprp,tm02,tm,v,Qp,L0,k0,BFI,m0_hilbert,GF_hilbert,hs,ts,h10,hmax,tz,thmax,hmaxhs,kurt_n,skew_n,kurt_H,skew_H,kurt_T,skew_T,corr_H,corr_T,nruns
2024-11-21 00:00:00,0.05,0.01,0.00,0.00,0.00,0.87,0.10,9.91,290.67,50.06,5.99,7.26,0.68,2.08,153.30,0.04,0.05,0.02,0.44,0.80,357.01,1.02,1.34,235.13,402.14,1.68,0.00,0.03,-0.21,0.58,-1.05,0.23,0.29,0.20,0.13
2024-11-21 00:30:00,0.05,0.01,0.00,0.00,0.00,0.90,0.10,9.95,274.41,63.73,6.04,7.24,0.66,2.33,154.38,0.04,0.05,0.02,0.39,0.85,352.85,1.06,1.45,240.48,436.55,1.72,0.02,0.09,-0.07,0.57,-1.06,0.03,0.22,0.11,0.15
2024-11-21 01:00:00,0.06,0.01,0.00,0.00,0.00,0.95,0.11,9.50,283.21,51.26,6.06,7.29,0.67,2.56,140.79,0.04,0.07,0.03,0.47,0.86,342.77,1.15,1.58,225.51,360.36,1.84,0.25,0.05,0.73,0.96,-0.86,0.36,0.36,0.26,0.14
2024-11-21 01:30:00,0.06,0.01,0.00,0.00,0.00,0.98,0.10,10.36,298.69,42.79,6.22,7.48,0.67,2.49,167.55,0.04,0.06,0.02,0.36,0.92,361.24,1.16,1.46,261.71,373.12,1.58,-0.18,0.04,-0.33,0.50,-0.94,0.02,0.28,0.23,0.15
2024-11-21 02:00:00,0.06,0.01,0.00,0.00,0.00,0.96,0.11,9.50,298.66,49.40,6.19,7.41,0.66,2.40,140.79,0.04,0.06,0.02,0.39,0.91,369.66,1.13,1.72,257.57,368.66,1.88,-0.08,-0.01,-0.01,0.53,-0.99,0.13,0.36,0.30,0.13
2024-11-21 02:30:00,0.06,0.01,0.00,0.00,0.00,1.01,0.10,9.95,300.08,44.04,6.60,7.80,0.63,2.83,154.38,0.04,0.07,0.03,0.42,0.98,379.80,1.26,1.59,265.96,387.09,1.63,0.09,0.07,-0.08,0.54,-1.13,-0.09,0.35,0.26,0.13
2024-11-21 03:00:00,0.06,0.01,0.00,0.00,0.00,0.98,0.11,9.12,294.59,46.99,6.13,7.26,0.64,2.36,129.75,0.05,0.07,0.03,0.45,0.90,341.90,1.16,1.69,236.31,387.28,1.88,0.09,0.11,0.11,0.68,-1.06,0.16,0.38,0.28,0.13
2024-11-21 03:30:00,0.07,0.01,0.00,0.00,0.00,1.03,0.10,9.91,287.79,51.13,6.15,7.48,0.69,2.40,153.30,0.04,0.06,0.02,0.36,0.96,359.42,1.25,1.64,245.58,340.12,1.70,-0.10,0.07,-0.09,0.56,-1.13,0.03,0.34,0.19,0.13
2024-11-21 04:00:00,0.07,0.01,0.00,0.00,0.00,1.09,0.11,9.50,295.26,51.08,5.95,7.28,0.71,2.48,140.79,0.04,0.08,0.03,0.39,1.07,362.91,1.33,1.78,242.21,381.68,1.66,-0.06,0.10,-0.41,0.47,-1.15,-0.08,0.35,0.24,0.14
2024-11-21 04:30:00,0.07,0.01,0.00,0.00,0.00,1.08,0.10,9.95,289.50,52.57,5.58,7.02,0.76,2.31,154.38,0.04,0.06,0.03,0.43,1.03,342.95,1.31,1.88,224.87,369.17,1.82,-0.04,0.04,-0.37,0.56,-1.08,0.13,0.34,0.24,0.15
2024-11-21 05:00:00,0.07,0.01,0.00,0.00,0.00,1.08,0.12,8.41,298.66,49.07,5.37,6.82,0.78,2.13,110.46,0.06,0.08,0.03,0.45,1.01,331.92,1.36,2.04,212.13,374.35,2.01,0.32,0.04,0.71,0.95,-1.01,0.33,0.34,0.29,0.12
2024-11-21 05:30:00,0.08,0.01,0.00,0.00,0.00,1.15,0.10,9.95,299.52,50.78,5.55,7.01,0.77,1.97,154.38,0.04,0.06,0.04,0.43,1.03,325.12,1.36,1.85,200.45,380.72,1.78,0.07,0.07,-0.04,0.76,-0.89,0.38,0.34,0.31,0.14
2024-11-21 06:00:00,0.09,0.01,0.00,0.00,0.00,1.21,0.11,9.12,290.52,44.06,5.86,7.30,0.74,2.70,129.75,0.05,0.10,0.04,0.40,1.16,364.95,1.47,1.82,232.87,327.24,1.56,-0.12,0.07,-0.51,0.57,-1.19,0.04,0.39,0.22,0.14
2024-11-21 06:30:00,0.09,0.01,0.00,0.00,0.00,1.17,0.10,9.95,270.61,52.44,5.69,7.04,0.73,2.29,154.38,0.04,0.07,0.03,0.40,1.13,350.95,1.37,2.05,232.36,338.65,1.82,-0.06,0.07,-0.54,0.42,-1.23,-0.03,0.35,0.28,0.15
2024-11-21 07:00:00,0.10,0.01,0.00,0.00,0.00,1.25,0.11,9.50,287.45,56.75,5.67,6.99,0.72,2.17,140.79,0.04,0.08,0.04,0.46,1.10,332.00,1.41,2.02,212.63,366.88,1.83,0.18,0.04,0.03,0.69,-1.13,0.28,0.26,0.17,0.14
2024-11-21 07:30:00,0.10,0.01,0.00,0.00,0.00,1.26,0.12,8.44,292.91,39.97,5.71,7.00,0.71,2.14,111.24,0.06,0.10,0.04,0.43,1.19,339.63,1.53,2.12,224.30,425.55,1.78,0.14,-0.03,-0.00,0.67,-0.77,0.17,0.40,0.30,0.13
2024-11-21 08:00:00,0.10,0.01,0.00,0.00,0.00,1.26,0.11,9.15,291.29,52.47,5.62,6.90,0.71,1.96,130.66,0.05,0.07,0.04,0.41,1.19,332.64,1.50,2.14,224.42,322.90,1.80,-0.02,0.05,-0.28,0.53,-0.69,0.11,0.34,0.27,0.13
2024-11-21 08:30:00,0.10,0.02,0.00,0.00,0.00,1.28,0.11,9.50,295.55,39.29,5.46,6.77,0.73,1.93,140.79,0.04,0.07,0.05,0.45,1.18,329.23,1.50,2.04,210.09,372.15,1.72,0.05,0.10,-0.30,0.65,-0.93,0.28,0.22,0.21,0.14
2024-11-21 09:00:00,0.11,0.02,0.00,0.00,0.00,1.35,0.11,8.77,275.56,57.96,5.74,7.03,0.71,2.01,119.96,0.05,0.09,0.06,0.48,1.21,328.07,1.64,2.19,213.19,311.31,1.80,0.37,0.07,0.48,0.92,-1.14,0.20,0.30,0.12,0.13
2024-11-21 09:30:00,0.10,0.02,0.00,0.00,0.00,1.29,0.12,8.14,291.42,48.60,5.59,6.89,0.72,1.84,103.44,0.06,0.09,0.04,0.39,1.21,334.53,1.53,2.13,221.94,287.03,1.76,-0.06,0.06,-0.20,0.59,-0.88,0.16,0.29,0.22,0.13
2024-11-21 10:00:00,0.11,0.02,0.00,0.00,0.00,1.32,0.11,9.15,296.35,50.15,5.57,6.84,0.72,2.03,130.66,0.05,0.08,0.04,0.41,1.23,332.46,1.58,2.05,222.69,301.27,1.66,-0.07,0.08,-0.23,0.56,-1.02,0.13,0.35,0.24,0.12
2024-11-21 10:30:00,0.11,0.02,0.00,0.00,0.00,1.31,0.11,8.77,293.80,38.31,5.71,6.92,0.69,2.06,119.96,0.05,0.09,0.04,0.41,1.23,328.90,1.56,2.09,226.78,376.06,1.70,0.10,0.08,-0.18,0.56,-0.81,-0.00,0.30,0.31,0.13
2024-11-21 11:00:00,0.11,0.02,0.00,0.00,0.00,1.35,0.11,8.77,294.12,45.12,5.79,7.07,0.70,2.06,119.96,0.05,0.09,0.05,0.47,1.25,335.20,1.61,2.46,226.79,349.25,1.97,0.24,0.09,0.27,0.70,-1.04,-0.01,0.37,0.22,0.13
2024-11-21 11:30:00,0.11,0.02,0.00,0.00,0.00,1.33,0.10,9.53,290.81,50.91,5.85,7.11,0.69,1.91,141.78,0.04,0.07,0.04,0.40,1.23,344.13,1.55,2.21,236.49,365.30,1.79,-0.09,0.04,-0.24,0.48,-0.73,0.12,0.29,0.15,0.14
2024-11-21 12:00:00,0.11,0.01,0.00,0.00,0.00,1.31,0.11,8.77,292.67,49.57,6.06,7.26,0.66,1.86,119.96,0.05,0.08,0.04,0.41,1.22,336.64,1.53,2.20,238.19,382.97,1.80,-0.06,0.04,-0.14,0.49,-0.65,0.03,0.36,0.30,0.14
2024-11-21 12:30:00,0.13,0.02,0.00,0.00,0.00,1.42,0.10,10.36,305.74,55.85,6.32,7.50,0.64,2.07,167.55,0.04,0.07,0.05,0.42,1.29,339.71,1.65,2.57,244.28,399.12,1.99,0.12,-0.03,0.61,0.64,-0.67,0.03,0.35,0.22,0.14
2024-11-21 13:00:00,0.14,0.02,0.00,0.00,0.00,1.49,0.10,9.91,302.14,50.78,6.27,7.63,0.69,2.11,153.30,0.04,0.08,0.06,0.42,1.37,357.52,1.75,2.55,240.22,394.99,1.86,-0.04,0.15,-0.09,0.62,-0.97,0.05,0.31,0.29,0.13
2024-11-21 13:30:00,0.13,0.02,0.00,0.00,0.00,1.43,0.11,9.12,292.18,41.99,6.24,7.50,0.67,2.46,129.75,0.05,0.11,0.05,0.39,1.40,351.90,1.78,2.43,253.62,340.07,1.73,0.07,0.06,-0.16,0.46,-0.96,-0.22,0.31,0.27,0.12
2024-11-21 14:00:00,0.13,0.02,0.00,0.00,0.00,1.46,0.11,8.77,302.54,35.26,6.03,7.53,0.75,2.23,119.96,0.05,0.11,0.05,0.42,1.36,356.01,1.75,2.19,238.97,432.57,1.61,0.09,0.07,-0.25,0.58,-1.04,0.12,0.27,0.11,0.13
2024-11-21 14:30:00,0.15,0.02,0.00,0.00,0.00,1.56,0.11,8.80,294.11,52.63,6.14,7.42,0.68,2.02,120.81,0.05,0.10,0.07,0.46,1.45,332.77,1.86,2.59,225.78,369.88,1.78,0.12,0.07,-0.11,0.70,-0.97,0.11,0.40,0.33,0.16
2024-11-21 15:00:00,0.15,0.02,0.00,0.00,0.00,1.54,0.09,10.86,294.93,53.35,6.03,7.36,0.70,2.09,183.89,0.03,0.07,0.06,0.43,1.50,357.32,1.88,2.32,235.07,394.59,1.54,-0.01,0.06,-0.58,0.52,-1.11,0.06,0.38,0.25,0.14
2024-11-21 15:30:00,0.17,0.02,0.00,0.00,0.00,1.64,0.10,9.91,312.98,41.07,6.27,7.50,0.66,2.16,153.30,0.04,0.09,0.08,0.46,1.54,347.44,1.97,2.62,227.68,328.62,1.70,0.05,0.07,-0.38,0.63,-1.08,0.17,0.37,0.26,0.14
2024-11-21 16:00:00,0.23,0.03,0.01,0.00,0.00,1.92,0.10,10.40,304.06,44.02,6.70,7.78,0.59,2.77,168.73,0.04,0.12,0.10,0.43,1.83,363.70,2.32,3.24,258.78,402.40,1.77,0.08,0.04,-0.28,0.54,-1.14,-0.21,0.44,0.33,0.14
2024-11-21 16:30:00,0.21,0.03,0.00,0.00,0.00,1.83,0.10,10.36,288.39,56.28,6.60,7.64,0.58,2.66,167.55,0.04,0.11,0.08,0.41,1.81,366.05,2.24,2.91,274.85,357.95,1.61,-0.07,0.09,-0.43,0.37,-0.94,-0.26,0.38,0.29,0.15
