time_sec,n1,n2,n3
0.000,0.370,-1.050,0.130
0.781,-0.730,-0.660,0.210
1.562,-0.730,-0.360,0.420
2.344,-0.780,-0.250,0.250
3.125,-0.430,-0.140,0.020
3.906,-0.220,0.070,0.010
4.688,0.420,0.000,-0.120
5.469,0.030,-0.190,-0.030
6.250,0.020,-0.080,-0.180
7.031,-0.080,0.120,-0.870
7.812,-0.030,0.360,-0.670
8.594,0.150,0.410,-0.290
9.375,0.260,0.430,-0.030
10.156,0.580,0.210,0.260
10.938,0.370,0.040,0.670
11.719,0.010,0.000,0.860
12.500,-0.440,0.300,0.680
13.281,-0.140,0.150,0.480
14.062,-0.670,0.240,0.010
14.844,-0.640,0.650,-0.260
15.625,-0.430,0.990,-0.370
16.406,0.190,1.220,-0.270
17.188,1.450,0.040,-0.160
17.969,0.850,-1.240,-0.270
18.750,-0.230,-1.440,0.090
19.531,-0.890,-0.660,0.090
20.312,-0.700,0.180,0.030
21.094,0.160,0.170,0.040
21.875,0.280,-0.040,-0.030
22.656,0.830,-0.480,0.090
23.438,0.660,-1.030,-0.170
24.219,-0.100,-0.980,-0.320
25.000,-0.570,-0.400,-0.070
25.781,-0.670,0.320,0.200
26.562,-0.450,1.110,0.210
27.344,0.330,1.080,0.210
28.125,0.660,0.060,0.270
28.906,0.040,-0.230,0.240
29.688,-0.370,-0.030,0.060
30.469,-0.290,0.160,-0.040
31.250,0.150,-0.220,-0.580
32.031,-0.420,-0.450,-0.930
32.812,-0.200,-0.170,-0.720
33.594,0.280,-0.130,-0.600
34.375,0.330,-0.010,-0.200
35.156,0.080,0.370,0.430
35.938,0.250,0.540,0.800
36.719,0.020,0.360,0.750
37.500,-0.460,0.590,0.560
38.281,-0.290,0.570,0.010
39.062,0.020,0.310,-0.310
39.844,0.570,-0.180,-0.350
40.625,0.270,-0.630,-0.320
41.406,0.190,-0.550,-0.190
42.188,0.130,-0.560,-0.120
42.969,-0.370,-0.250,0.160
43.750,-0.250,0.140,0.520
44.531,0.080,0.180,0.620
45.312,-0.070,0.200,0.470
46.094,-0.220,0.250,0.400
46.875,0.120,0.240,0.160
47.656,0.170,-0.230,0.130
48.438,-0.080,-0.480,0.250
49.219,-0.060,-0.500,-0.200
50.000,-0.620,-0.310,-0.390
50.781,-0.390,0.310,-0.100
51.562,0.630,0.180,-0.160
52.344,0.490,-0.010,-0.310
53.125,0.420,0.150,-0.150
53.906,0.380,-0.090,0.060
54.688,-0.090,-0.180,0.100
55.469,-0.210,-0.140,-0.220
56.250,-0.570,0.100,-0.570
57.031,-0.100,0.260,-0.430
57.812,0.210,-0.190,-0.170
58.594,-0.040,-0.270,-0.090
59.375,-0.070,-0.150,-0.450
60.156,-0.850,0.270,-0.470
60.938,-0.970,1.160,0.000
61.719,-0.740,1.890,-0.040
62.500,0.470,1.910,-0.350
63.281,1.990,0.370,-0.550
64.062,1.680,-1.460,-0.340
64.844,0.770,-2.170,0.260
65.625,-0.200,-2.010,0.910
66.406,-0.800,-1.120,1.150
67.188,-0.870,-0.240,1.030
67.969,-0.910,0.470,1.090
68.750,-0.220,0.650,0.860
69.531,0.050,0.260,0.480
70.312,-0.060,0.160,0.050
71.094,0.080,0.140,-0.330
71.875,-0.120,0.180,-0.440
72.656,-0.020,0.420,-0.530
73.438,0.400,0.590,-0.440
74.219,0.950,0.140,-0.320
75.000,0.670,-0.670,-0.090
75.781,-0.360,-0.820,0.110
76.562,-0.930,-0.300,0.230
77.344,-0.810,0.470,-0.040
78.125,0.170,0.630,-0.310
78.906,0.520,0.280,-0.310
79.688,0.420,-0.080,-0.460
80.469,-0.060,-0.330,-0.640
81.250,-0.370,0.000,-0.760
82.031,0.000,0.080,-0.670
82.812,0.030,-0.100,-0.160
83.594,0.090,-0.050,0.570
84.375,-0.040,0.130,0.690
85.156,-0.110,0.150,0.410
85.938,-0.320,0.290,0.050
86.719,-0.350,0.510,0.020
87.500,-0.110,0.800,0.280
88.281,0.480,0.710,0.310
